Page ID,Page Name,Disclaimer,Amount Spent (USD)
1050474972008396,Bryan Berghoef for Congress,BRYAN BERGHOEF FOR CONGRESS,≤100
175418189246260,Independent Nation,Timothy Scott Morris,≤100
179773505382352,Committee on House Administration Republicans,official funds from the Committee on House Administration,≤100
1824165801199201,The Fight Against Antimicrobial Resistance,"Paradigm Solutions, LLC",≤100
621668134518008,Global March for Elephants and Rhinos,Global March for Eles & Rhinos,≤100
108777231824,Manhattan Institute for Policy Research,MANHATTAN INSTITUTE FOR POLICY RESEARCH INC,≤100
290548664672,First Liberty,First Liberty Institute,≤100
56332452163,AMA Patients Action Network,American Medical Association,≤100
692220144192046,Empower Mississippi,Empower Mississippi,≤100
103221163140989,Pet Partners,Pet Partners,≤100
341534259844023,Marco Serna,Marco for Congress,≤100
26581903414,Eastern Illinois Foodbank,Eastern Illinois Foodbank,≤100
125659792217847,Ocean Craft Apparel,Anna Grace Brown,≤100
399067003454888,Sudan Relief Fund,Sudan Relief Fund Inc,≤100
670503989970479,State Representative Jeff Keicher,Friends of Jeff Keicher,≤100
689986317770410,Jesús Andrade for State Senate,Jesús Andrade for State Senate 2020,≤100
998466296865567,Decision Desk HQ,Decision Desk HQ,≤100
162676813937511,Dan Forest,Committee to Elect Dan Forest,≤100
54787697857,Ron Wyden,WYDEN FOR SENATE,≤100
203805062990264,Ben Shapiro,The Daily Wire,≤100
1383869268500535,Medicare World,Medicare World,≤100
106559767516191,My Online Cert,These ads ran without a disclaimer,≤100
7145381235,American Jewish World Service - AJWS,"AMERICAN JEWISH WORLD SERVICE, INC.",≤100
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,≤100
357251385085313,Alliance to End Plastic Waste,Alliance To End Plastic Waste,≤100
384557995468219,Viral Casez,Viral Casez,≤100
350214962152736,Justice Watch With Attorney Zulu Ali,Zulu  Abdullah  Ali,≤100
389119978332258,We Are Apartments,The National Association of Apartments and the National Multifamily Housing Council,≤100
66799564552,The Idaho Foodbank,"IDAHO FOODBANK WAREHOUSE, INC.",≤100
114530700443,Food Bank of Contra Costa and Solano,Food Bank of Contra Costa & Solano,≤100
117521968329803,The Talk On Main St,IT STARTS TODAY,≤100
1891481047829323,Adopt a Democrat,Adopt a Democrat,≤100
136648983036109,CommonBond Communities,COMMONBOND COMMUNITIES,≤100
441889753286654,Cornwell For Congress - NY22,CORNWELL FOR CONGRESS,≤100
586147734741827,Post Hill Press,Post Hill Press,≤100
16477459734,League of Conservation Voters,"LEAGUE OF CONSERVATION VOTERS, INC",≤100
102010211314386,Donald Trump 2020 Voters,I Love My Freedom,≤100
1023516414456183,Drain the DC Swamp PAC,DRAIN THE DC SWAMP PAC,≤100
726308184419500,Institute for a Safer Florida,Institute for a Safer Florida,≤100
112992596061286,Karen Johnson Register of Deeds Nashville Davidson County,Karen Johnson Davidson County Register of Deeds,≤100
267180743723148,National Geographic Society,National Geographic Society,≤100
174009339411865,SmartNews,"SmartNews International, Inc.",≤100
7341997111,Conservation International,Conservation International,≤100
175647186421524,Team ENOUGH,Team ENOUGH,≤100
268017007094,Big Hole Watershed Committee,Tana Marie Nulph,≤100
2077991338990237,USA 45,USA45,≤100
202774546401452,Jeanne Ives,JEANNE FOR CONGRESS,≤100
5998839406,NARAL Pro-Choice Texas,NARAL Pro-Choice Texas,≤100
2407147439348514,Ameristrong,Ameristrong,≤100
302612457071883,Moving It Right,Richard P Ashton,≤100
179145905973075,Sophie Ratner Jewelry,Sophie Ratner Jewelry,≤100
8473889271,National Parks Conservation Association,National Parks Conservation Association,≤100
100935474627180,Lisa Savage for US Senate,LISAFORMAINE,≤100
105936053461,1776 Coalition,"ALLIANCE STRATEGIES GROUP, INC.",≤100
9538894955,John F. Kennedy Presidential Library and Museum,"John Fitzgerald Kennedy Library Foundation, Inc.",≤100
1210101199161467,Real Maine Facts,Samuel I Katz,≤100
131217580266597,National Council on Aging,"NATIONAL COUNCIL ON AGING, INC.",≤100
26688360097,Corey Woods for Tempe Mayor,Corey For Tempe,≤100
746938465317981,Nuclear Matters,Nuclear Matters,≤100
20603236087,Love146,"LOVE146, INC.",≤100
1438882392887793,ADF Church Alliance,Alliance Defending Freedom,≤100
2155040508095232,MonopolyWars,MonopolyWars.com,≤100
111987740159598,Matthew Park for State House,Matthew Park for Tennessee,≤100
109259090549237,Yes on National Popular Vote,YES ON NATIONAL POPULAR VOTE,≤100
159616034235,Walmart,WALMART INC.,≤100
113731336694,Goldwater Institute,"GOLDWATER INSTITUTE ,THE",≤100
112287913481898,Cindy Banyai for Florida Congressional District 19,FRIENDS OF CINDY BANYAI,≤100
102617961152741,Barbara Bollier,Bollier for Kansas,≤100
142957224352,International Medical Corps,International Medical Corps,≤100
232201568659,Pacific Justice Institute,Linda Carol Losey,≤100
213792049451918,Stand For America Now,Stand For America Inc,≤100
1947204578916961,Kionne McGhee,"Kionne McGhee, Non-Partisan, for Miami-Dade County Commissioner District 9",≤100
292351509697,Jerusalem Prayer Team,Jerusalem Prayer Team,≤100
1385294418360578,Linda Koop,KOOP FOR TEXAS,≤100
949729828414777,Respect The Fin,Respect The Fin,≤100
59543893235,National Constitution Center,National Constitution Center,≤100
215281808519580,Random House,Penguin Random House LLC,≤100
2225580284361712,Tommy Tuberville,"TUBERVILLE FOR SENATE, INC.",≤100
208692369141192,State Employees Association of North Carolina,"STATE EMPLOYEES ASSOCIATION OF NORTH CAROLINA, INC.",≤100
118379493631,Episcopal Relief & Development,EPISCOPAL RELIEF AND DEVELOPMENT,≤100
1927977257228284,Jack Murphy,I Love My Freedom,≤100
366557424156576,Lifelinz 4ever,James Cecil Wear,≤100
116103198461511,North Shore Animal League America,"NORTH SHORE ANIMAL LEAGUE AMERICA, INC.",≤100
30618466815,Pacific Legal Foundation,Pacific Legal Foundation,≤100
45013872425,The Ripon Society,RIPON SOCIETY,≤100
121626482110,Operation Smile,"OPERATION SMILE, INC.",114
294879797332635,Debbie Dingell,DEBBIE DINGELL FOR CONGRESS,≤100
77790954801,Salesian Missions,Salesian Missions,≤100
590660300952992,CN4 Partners,CN4 Partners,≤100
518194348194441,RepresentUs,RepresentUs,≤100
6204742571,Sierra Club,SIERRA CLUB,≤100
392090254579689,The Nazarene Fund,The Nazarene Fund,≤100
136299005939,Heifer International,HEIFER PROJECT INTERNATIONAL,439
689313484832877,Introducing: R.J. Atkins,Rickey Dwayne Atkins,≤100
79125112926,Students for Life of America,"STUDENTS FOR LIFE OF AMERICA, INC.",≤100
7292655492,MoveOn,MOVEON.ORG CIVIC ACTION,≤100
133649613319094,A CALL TO MEN,A CALL TO MEN,≤100
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",≤100
15041226930,Oxfam,"OXFAM AMERICA, INC.",≤100
60182072999,Lila Rose,Live Action,≤100
157402764294444,"Union Mission Ministries, Norfolk","UNION MISSION INC, THE",≤100
374108446391390,Ted Howze for Congress,TED HOWZE FOR CONGRESS 2020,≤100
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,≤100
43222711183,National Whistleblower Center,NATIONAL WHISTLEBLOWER CENTER,≤100
80668957414,GoSili,SiliKids Inc.,≤100
14851158643,Southern Utah Wilderness Alliance,SOUTHERN UTAH WILDERNESS ALLIANCE,≤100
102946544466689,No MO Slots,"No MO Slots, LLC",≤100
2322246614761685,Rob Jones for Congress,ROB JONES FOR CONGRESS,≤100
67945990059,The American Petroleum Institute,AMERICAN PETROLEUM INSTITUTE,≤100
80865461794,Public Service Company of Oklahoma (PSO),Whitney Shawn Emerick,≤100
8924408197,National Partnership for Women & Families,National Partnership for Women & Families,≤100
34521916336,Brent Bozell,MEDIA RESEARCH CENTER,≤100
28446275521,Military Officers Association of America (MOAA),Military Officers Association of America,≤100
556218374525383,Black Lives Matter Tucson,Tiera Jasmine Rainey,≤100
76050196975,Light of Life Rescue Mission,LIGHT OF LIFE MINISTRIES INC,≤100
683872625157265,Theresa Greenfield,THERESA GREENFIELD FOR IOWA,≤100
197760674021143,Indivisible Guide,INDIVISIBLE ACTION,≤100
950998258312654,Knowhere,"Knowhere, Inc.",≤100
1925751504337881,MJ for Texas,MJ FOR TEXAS,≤100
796891923695572,Here for America,"Association of Global Automakers, Inc.",≤100
107858693983382,The GOP Shop,The GOP Shop,131
113676922032321,Larry Elder,Salem Media,≤100
186703441342317,SAMMinistries-Overcoming Homelessness,SAMMinistries,≤100
69039563201,Open Doors USA,"OPEN DOORS WITH BROTHER ANDREW, INC.",≤100
392516956004,The Carter Center,The Carter Center,≤100
126279571952,Huru International,HURU INTERNATIONAL,≤100
651032398295103,Faith on View,Rondall Chambers Reynoso,≤100
1452551204988299,GoReact,Speakworks Inc,≤100
110557636095218,Real Matt Locke,The Matt Locke Show,≤100
1605412069682308,Divinity LA,These ads ran without a disclaimer,≤100
1892187271040911,FreedomWorks Foundation,FreedomWorks Foundation,≤100
34744979347,MS Food Network,Mississippi Food Network,≤100
660392237420535,Kick Insurance to the Curb,Jordan Patrick Fowler,≤100
108970206976,World Vision USA,WORLD VISION INC.,≤100
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,≤100
212677670907,American Constitution Society,AMERICAN CONSTITUTION SOCIETY,≤100
124358167232,Western Environmental Law Center,WESTERN ENVIRONMENTAL LAW CENTER,≤100
87375121041,International Women's Health Coalition,"INTERNATIONAL WOMEN'S HEALTH COALITION, INC.",≤100
2352630938293825,Mytacticalpromos,Entremax,221
987698164585861,Citizen Ed,Citizen Education,≤100
128167457221813,Public Transportation,Voices for Public Transit,≤100
192609620649,The University of Chicago,The University of Chicago,≤100
1784991421516214,Seek Refuge,Seek Refuge,≤100
1497851363851721,QLMS,Quicken Loans Mortgage Services,≤100
104103700998973,ForbiddenWears,ForbiddenWears,≤100
374848446414965,Pollking,Benjamin Aaron Perlman,≤100
244521769535661,Nichole Williams for Congress,NICHOLE WILLIAMS FOR CONGRESS,≤100
892673067526965,Project War Path,Project War Path,≤100
174739196703689,Trump - the Opera,Roger Rudenstein,≤100
168220163668105,Newfield Democratic Party,These ads ran without a disclaimer,≤100
170582513587720,Liberty Through Wealth,The Oxford Club,≤100
332172544231683,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",≤100
111393882812494,Amy McGrath,"AMY MCGRATH FOR SENATE, INC.",128
213254292034436,Out & Equal Workplace Advocates,OUT & EQUAL WORKPLACE ADVOCATES,≤100
243510442756370,Justice Democrats,JUSTICE DEMOCRATS PAC,≤100
458928061510318,Rita Hart for Iowa,RITA HART FOR IOWA,≤100
343175436328856,CA Needs Energy Storage,California Alliance for Renewable Energy Solutions,≤100
55272522353,Animal Rescue League of Iowa,"Animal Rescue League of Iowa, Inc.",≤100
101401179944527,Mona Foundation,MONA FOUNDATION,≤100
108906707265489,USA Pooch,"PRESIDENTIAL POOCH, INC",≤100
717417908274761,Lady Freethinker,Lady Freethinker,≤100
119813931368680,Daniel Webster for Congress,Dan Webster,≤100
25055115099,Intuit,INTUIT INC.,≤100
327202261326682,Stephanie Bice,Bice for Congress,≤100
297281494147774,Good Morning Liberty Podcast,Good Morning Liberty,≤100
7192716362,Amnesty International USA,Amnesty International USA,≤100
277017876160876,Theo Lipscomb for County Executive,Voters for Lipscomb,≤100
1447994318779650,AirMedCare Network,AIrMedCare Network,≤100
6985452607,Brita USA,The Clorox Company,≤100
473558703216022,Gabfest,Paul W Queen,≤100
6236054211,Brady,Brady Campaign to Prevent Gun Violence,≤100
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC.",≤100
157277400862,The Bell Policy Center,BELL POLICY CENTER,≤100
1567583403562909,From Adam to Noah—The Numbers Game,Leonard Timmons,≤100
7860876103,Joe Biden,BIDEN FOR PRESIDENT,163
319875418073651,By Da'Mon Cortez,Damon  Cortez,≤100
807413476285845,Prism,Prism,≤100
329272720965256,GALvanize USA,GALvanize USA,≤100
102950803268,Food Bank of the Southern Tier,Food Bank of the Southern Tier,≤100
252814820267,HIAS,HIAS,≤100
14038292386,Women for Women International,WOMEN FOR WOMEN INTERNATIONAL,≤100
351956562420148,Trump 2020,Tara Capri,≤100
15503839732,Peter G. Peterson Foundation,Peter G. Peterson Foundation,≤100
7835151610,Carolyn B. Maloney,MALONEY FOR CONGRESS,≤100
150322194563,PASA Primates: Pan African Sanctuary Alliance,PAN AFRICAN SANCTUARIES ALLIANCE,≤100
73016054191,Regional Food Bank of Oklahoma,"REGIONAL FOOD BANK OF OKLAHOMA, INC.",≤100
151219948249164,Florida Center for Investigative Reporting,Florida Center for Investigative Reporting,≤100
262062478079324,Mckayla Wilkes for Congress,MCKAYLA WILKES FOR CONGRESS,≤100
675471506247724,Adair for Congress,ADAIR FOR CONGRESS,≤100
123965317665623,N-Hance Wood Refinishing,N-Hance Inc.,≤100
43949868082,OutRight Action International,OUTRIGHT ACTION INTERNATIONAL,≤100
90527934565,Global Energy Institute,The U.S. Chamber of Commerce,≤100
46347342434,EMILY's List,EMILY'S LIST,≤100
167586229923327,World Food Program USA,World Food Program USA,≤100
684016825122195,Andy Thorburn for OC Board of Education,Andy Thorburn for Orange County Board of Education 2020,≤100
103197217821401,Donald J. Trump 2020,Trump Collections,≤100
409605253241736,Jose Castillo for Congress,JOSE CASTILLO FOR CONGRESS,≤100
461530314600399,Common Sense American Politics,Common Sense American Politics,≤100
1745236555735695,EverBright Kids,EverBright Kids,≤100
833845080319275,The Daily Patriot,Full Tilt Holdings LLC,≤100
11602044174,Independent Women's Forum,Independent Women's Forum,≤100
1520852664890753,Beau Biden Foundation for the Protection of Children,Beau Biden Foundation for the Protection of Children,≤100
212710169546965,Make America Great Again 2020,National Patriot Association,≤100
917112524983505,Syrian Community Network,"SYRIAN COMMUNITY NETWORK, INC.",≤100
293225127381200,Patriot Depot,The Patriot Depot,≤100
19889237539,ISRAEL21c,ISRAEL21C,≤100
804568342964376,2nd Amendment Rights,One Nation Design,≤100
589787637733608,Scherie S. Murray,SCHERIE MURRAY FOR CONGRESS,≤100
537571419599372,John Catsimatidis,Cats Roundtable,≤100
153278754738777,Climate Reality,The Climate Reality Project,≤100
183517831660100,Morning Consult,Morning Consult LLC,≤100
405355946226766,Todd Young,"FRIENDS OF TODD YOUNG, INC.",≤100
77903485992,Concerned Women For America LAC,CONCERNED WOMAN FOR AMERICA LEGISLATIVE ACTION COMMITTEE,≤100
80080296729,The Greater Boston Food Bank,"GREATER BOSTON FOOD BANK, INC., THE",≤100
1601921953229678,Institute for Polarities of Democracy,Willard Cliff Kayser,≤100
73727120674,Rush University System for Health,Rush University System for Health,≤100
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",≤100
958434844174956,Campaign for Accountability,CAMPAIGN FOR ACCOUNTABILITY INC,≤100
6240652407,Young America's Foundation,YOUNG AMERICA'S FOUNDATION INC,≤100
330201017032791,National Liberty Federation,National Liberty Federation INC,≤100
166618413413767,Jay Sekulow,American Center for Law and Justice,≤100
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,≤100
98912141410,American Forests,AMERICAN FORESTS,≤100
1809715209318581,Marjorie Taylor Greene for Congress,GREENE FOR CONGRESS,≤100
101695724646425,Southern Momentum,Southern Momentum,≤100
2305856756331440,Madam for America,Madam for America,≤100
2308987086026249,Joey Saladino,SALADINO FOR CONGRESS,≤100
126690546681,Second Harvest Food Bank of East Tennessee,Second Harvest Food Bank of East Tennessee,≤100
132492254050920,American AF,AAF Nation,≤100
112114435501106,Hugh Hewitt,Salem Media,≤100
1637823176332591,Ecocred,Branislav Seslija,≤100
1439441369620638,Grow Louisiana Coalition,Grow Louisiana Coalition,≤100
116534199732974,USA Carry Online,USA Carry Online,≤100
383677738397139,Association for Accessible Medicines,Association for Accessible Medicines,≤100
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",≤100
745910525468062,National Center on Sexual Exploitation,National Center on Sexual Exploitation,≤100
20876805343,March of Dimes,MARCH OF DIMES INC.,≤100
1465562810341589,Kansas Values Institute,Kansas Values Institute,≤100
197649756923507,KeepItLocalFlorida.org,Keep It Local Florida,≤100
26060837166,Point Loma Nazarene University,Point Loma Nazarene University,≤100
437054476325946,Evan Power,Evan Power for National Committeeman,≤100
157506044955437,The Andrew W. Mellon Foundation,"ANDREW W. MELLON FOUNDATION, THE",≤100
566008736785269,Be Heard Project,Be Heard Project,≤100
1444558675791434,I Love My Job,BadBananas,≤100
106392084148244,Sarah Miller,Michael Todd Powell,≤100
112469786315,Boise Rescue Mission Ministries,BOISE RESCUE MISSION,≤100
2036389409806378,Backpage's Role in Prostitution and Trafficking,X Social Media LLC,≤100
354586505391697,Derrick Evans - The Activist,Derrick Evans,≤100
19010003406,Elisabeth Haub School of Law at Pace University,Pace University Law School,≤100
1605850592977736,Jim Griffin,Jim Griffin Campaign,≤100
1402827079932843,Low Income Relief,The Lighthouse Information Network LLC,≤100
30139072158,CARE,CARE,122
17432811417,Working Families Party,Working Families Party National Political Action Committee,≤100
203330919857759,All On The Line,National Redistricting Action Fund,≤100
2332887206961207,Panfish Solar,Apex Clean Energy,≤100
362628781134387,Medicines360,"JONES PUBLIC AFFAIRS, INC.",≤100
103794891094099,Sam Nejabat for City Council,Sam Nejabat for City Council 2020,≤100
8895898655,Rainforest Alliance,"RAINFOREST ALLIANCE, INC.",≤100
322728757761954,Victor Marx,All Things Possible,≤100
19891061755,Dropbox,These ads ran without a disclaimer,≤100
102964924453030,Kristy Gnibus,KRISTY FOR CONGRESS,≤100
1389807071117013,Lynn Afendoulis,Lynn Afendoulis for Congress,≤100
101580094659577,Eff Yo Couch Cast,Jared H Foles,≤100
15779440092,National Review,"NATIONAL REVIEW, INC.",≤100
2043883232397356,Marlon Hill for D9,"Marlon Hill for Miami-Dade County Commissioner, District 9",≤100
278773625853034,"Conservative, Libertarian, Republican Meme Market",Austin Luke Holadia,≤100
1640213549563333,Ballot America,Lenox Augustine Ramsey Jr,≤100
698400060189827,Dan Sullivan,Alaskans for Sullivan,≤100
161906473872441,Feeding South Florida,"FEEDING SOUTH FLORIDA, INC.",≤100
263210730984251,We Are Great Again Pac,WE ARE GREAT AGAIN PAC,≤100
127225910653607,PragerU,PragerU,227
11918108948,African Wildlife Foundation,AFRICAN WILDLIFE FOUNDATION,≤100
143152622368089,San Diego Zoo Safari Park,ZOOLOGICAL SOCIETY OF SAN DIEGO,≤100
107804163986675,Hamilton County United,Kendra Leanne Young,≤100
661744180680367,National Police Association,"NATIONAL POLICE ASSOCIATION, INC.",≤100
110374789005998,Harvest Hope Food Bank,HARVEST HOPE FOOD BANK,≤100
102085474606335,100% Iowa,IOWA ENVIRONMENTAL COUNCIL,≤100
43544576780,ASU Foundation,Arizona State University Foundation For A New American University,≤100
108512875350,The Atlas Society,The Atlas Society,≤100
6333396177,NewsBusters.org,MEDIA RESEARCH CENTER,≤100
270503890146,Second Harvest Food Bank - Feeding South Louisiana,Second Harvest Food Bank - Feeding South Louisiana,≤100
330864807292568,Strong Family Alliance,Strong Family Alliance,≤100
1033824956707003,Primal Light Press,James Robert Duncan,≤100
330617944306531,Jerica Richardson,Jerica Marie Richardson,≤100
1308788582609604,Shirron for Circuit Judge,Shirron for Circuit Judge Campaign,≤100
108651103926952,Marietta McClure for State Representative,Marietta McClure for State Representative,≤100
13536897444,Corporate Accountability,Corporate Accountability International,≤100
136211573758668,State Representative Steve Allison,Steve Allison,≤100
110909394960,Grameen Foundation,Grameen Foundation,≤100
23516382545,B Corporation,B LAB COMPANY,≤100
210277954204,The Young Turks,"The Young Turks, Inc.",≤100
51052893175,Kevin McCarthy,Leader Kevin McCarthy,≤100
2477934522257579,U Decide App,Karen Neicy Holbrook,≤100
2049170775107862,Resistance By Design,Resistance By Design,≤100
310122703010899,Imagine What I Need,Michael Dewain Hanlon,≤100
433364950062784,Power Over Energy,Power Over Energy,≤100
11111618026,Union of Concerned Scientists,"UNION OF CONCERNED SCIENTISTS, INC.",≤100
562149327457702,Andrew Yang for President 2020,FRIENDS OF ANDREW YANG,≤100
2078647579047586,Project Pulso,Project Pulso,≤100
104188284328588,US Polling Research,US Polling Research LLC,≤100
654702428226892,Stop the Corridor,Stop the Corridor,≤100
174046949421616,Phenomenal Woman Action Campaign,Phenomenal Woman Action Campaign,≤100
123500462249,Oregon Food Bank,"OREGON FOOD BANK, INC.",≤100
107769029247935,Magee-Womens Research Institute & Foundation,Magee-Womens Research Institute & Foundation,≤100
336142233246524,Rice Love,Rice Love,≤100
393932827634250,Dissent Pins,Common Practice,≤100
114714470495,National Society of Professional Engineers (NSPE),NATIONAL SOCIETY OF PROFESSIONAL ENGINEERS,≤100
88248418523,Generation West Virginia,"GENERATION WEST VIRGINIA, INC.",≤100
50982313030,Food & Water Watch,Peter Langdon Thacher,≤100
9062006483,REI,"RECREATIONAL EQUIPMENT, INC.",≤100
163965296965203,32BJ SEIU,LOCAL 32 BJ SEIU,≤100
104038122501,Mary's Place,MARY'S PLACE SEATTLE,≤100
1955471264486935,The Colorado Sun,The Colorado Sun,≤100
100401327980848,National Parents Union,National Parents Union,≤100
291260461373618,News and News,News and News,≤100
239658882763974,Poverty USA,UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,≤100
142079411336,Second Harvest Food Bank of East Central Indiana,Second Harvest Food Bank of East Central Indiana,≤100
322870825821,Macmillan Audio,Dakota Cohen,≤100
1955953381348064,State Representative Trent Ashby,Texans for Trent Ashby,≤100
102809134474382,David Ryu for Los Angeles City Council,David Ryu for City Council 2020,≤100
44224524016,American Kidney Fund,"AMERICAN KIDNEY FUND, INC.",≤100
15687409793,World Wildlife Fund,World Wildlife Fund,≤100
819607471729183,Dr. Al Gross for US Senate,DR. AL GROSS FOR U.S. SENATE,≤100
170983909941,Tennessee Justice Center,TENNESSEE JUSTICE CENTER INC,158
289679024427356,Tennessee Stormwater Association,Tennessee Stormwater Association,≤100
1917715138510680,Follow Your Legend,Legend Bracelet,≤100
177583819559166,CRDC: Prevention,CROWLEYS RIDGE DEVELOPMENT COUNCIL INC,≤100
388547605724,Richard Neal,RICHARD E NEAL FOR CONGRESS COMMITTEE,≤100
20059927218,Chesapeake Climate Action Network,"CHESAPEAKE CLIMATE ACTION NETWORK, INC.",≤100
25852730092,Care2,Care2 Inc,147
125769584126996,Yael Eckstein,"INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS, INC.",≤100
474062436008137,Michael McCaul for Texas,"McCaul for Congress, Inc.",≤100
354369924642184,Bill Holt's Dreamies,William Holt,≤100
499379343409991,Impact Fund,"IMPACT FUND, THE",≤100
196816774298638,Heart Head Hands: Everyday Living for Justice,Amanda Beth Godbee,≤100
443908256041631,Free the States,Free the States Action Fund,≤100
632543823464838,"Martin Heller Potempa & Sheppard, PLLC","Martin Heller Potempa & Sheppard, PLLC",≤100
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,107
112072710126314,Heidi Sloan,HEIDI SLOAN COMMITTEE TO ELECT FOR CONGRESS,≤100
564277953753627,Bellwether Education Partners,Jeremy Bennett Knight,≤100
1402163209843649,Our.News,Our.News Holdings Inc.,≤100
1825495131075739,Amazon Frontlines,Alexander Merrim Goff,≤100
84258068778,FIRM Action,Center for Community Change Action,≤100
359933137438156,Nine Line Apparel,Nine Line Apparel,≤100
133764907211570,Concerned Citizen,Steven Niems,≤100
112736695910012,Massachusetts Parents United,Massachusetts Parents United,≤100
710669049286394,Woo the People,Khosro David Illulian,≤100
111878990214714,Trent Sutton,Sutton for Congress,≤100
694222660634863,A Step Ahead Chattanooga,A Step Ahead Chattanooga,≤100
103803147648868,Nifty Blends,Nifty Blends,≤100
657708380952174,Voices of the Civil Rights Movement,Comcast,≤100
85064269154,Second Harvest Food Bank of Metrolina,Second Harvest Food Bank of Metrolina,≤100
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,≤100
203197030603239,8 Billion Trees,8 Billion Trees LLC,≤100
135298176481584,Marine Corps Scholarship Foundation,Marine Corps Scholarship Foundation,≤100
602040603170590,Americans for Food and Beverage Choice,Americans for Food and Beverage Choice,≤100
109822822413301,Myler Disability,"BRAD MYLER & ASSOCIATES, INC.",≤100
244582632289534,The Family & Youth Institute,The Family and Youth Institute,≤100
151117348801747,Jeff Bond,These ads ran without a disclaimer,≤100
151883078314516,NationSwell,NationSwell,≤100
194386147247266,Nicole Millman Photography,Nicole Janelle Millman,≤100
384336778589668,Defend Our Constitution,COMMON CAUSE,≤100
100501598131634,Hotel and Motel Trafficking,X Social Media,≤100
12683623041,Society for Human Resource Management (SHRM),SOCIETY FOR HUMAN RESOURCE MANAGEMENT,≤100
1600352356914768,PushBlack,PushBlack,≤100
393733114026754,POWER 96.1,iHeartRadio,≤100
363741920768563,RTBiQ Political,RTBiQ Political,≤100
67290148351,Sites by Sara,These ads ran without a disclaimer,≤100
1320005784826065,Dora Villarreal for State's Attorney,Friends of Dora Villarreal,≤100
20009402970,Women Employed,Women Employed,≤100
392524473904,Erie Insurance,ERIE INDEMNITY COMPANY,≤100
277443916145253,Stop Sign Ticket Defense,Gregory Monte,≤100
77675748950,New Israel Fund,"NEW ISRAEL FUND, THE",≤100
402969533432277,Cisneros for Congress,CISNEROS FOR CONGRESS,≤100
102860661680,Quetico Superior Wilderness News,Quetico Superior Foundation,≤100
164009890287891,Becket,"BECKET FUND, THE",≤100
101810009871142,Pacific Forest Trust,"The Pacific Forest Trust, Inc.",≤100
205148492837912,We Are Ohio,We Are Ohio,≤100
1316308285142040,Planet Home,"Equilibrium Management, LLC",≤100
79544250303,Animal Haven,Animal Haven,≤100
63240625785,National Immigration Forum,NATIONAL IMMIGRATION FORUM,≤100
1961490360828207,SEMA US,SEMA US,≤100
