Page ID,Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library
104188284328588,US Polling Research,US Polling Research LLC,108,20
28126338304,Surfrider Foundation,These ads ran without a disclaimer,108,4
332717716852626,Andrew Warren,Andrew Warren for State Attorney,107,28
112492646811151,California Census,CA Census 2020,107,80
69757566686,Mid-Ohio Foodbank,Mid-Ohio Foodbank,107,3
918325345038379,State Representative Greg Markkanen,Rep. Greg Markkanen,106,1
2054623111429269,Institute for a Progressive Nevada,Institute For A Progressive Nevada,106,2
332669333486567,California Republican Party,CALIFORNIA REPUBLICAN PARTY FEDERAL ACCT.,106,161
357704677979748,American Conservation Coalition - ACC,American Conservation Coalition,106,4
2126909744296094,The Clean Energy Group,Brady Kenneth Nelson,106,4
120351362694552,Sean For Congress,SEAN FOR CONGRESS,106,2
348948148522246,MHB - Men Having Babies,"MEN HAVING BABIES, INC.",106,4
9538894955,John F. Kennedy Presidential Library and Museum,"John Fitzgerald Kennedy Library Foundation, Inc.",106,17
323093251713475,Brett Kokinadis for Congress,IMAGINE BRETT FOR CONGRESS,105,7
142113656501,Renee Unterman,Unterman for Congress,105,2
233116802464,Independent Voter,Independent Voter Project,105,3
1318134684947847,Aura Vasquez,Aura Vasquez for the People of L.A Council District 10 in 2020,105,13
237367506369,Texas Children's Hospital,Texas Children's Hospital,105,11
35715544220,Stand.earth,STAND,105,61
815410965174024,Troy Brimage for Texas,Troy Brimage Campaign,104,5
259427454135418,California Policy Center,California Policy Center,103,31
102365541253384,Ford O'Connell,Ford for Florida,103,2
526766564501894,State Representative Julie Alexander,Rep. Julie Alexander,102,2
286724225344613,State Representative Rodney Wakeman,Rep. Rodney Wakeman,102,1
101836161264070,Frank Hibbard for Mayor,"Frank Hibbard, nonpartisan, for Clearwater Mayor",102,11
45537846838,Piedmont Land Conservancy,PIEDMONT LAND CONSERVANCY,102,6
290851614930809,Combat AntiSemitism,Combat Anti-Semitism,102,3
311896169406139,Trump 2020 Wear,Trump 2020 Wear,102,2
540927126407141,State Representative Sarah Lightner,Rep. Sarah Lightner,102,1
228378147568173,Representative Joe Bellino,Rep. Joe Bellino,102,1
398216294338585,State Representative Jack O'Malley,Rep. Jack O'Malley,102,1
6817812700,Lee Zeldin,ZELDIN FOR CONGRESS,102,20
877489392359717,For Our Future Ohio,FOR OUR FUTURE,102,2
17801244148,Jill Schupp,SCHUPP FOR CONGRESS,101,15
114989253202136,Consumer Protection Law,Sift Legal Marketing,101,15
67106719910,Congressman Vern Buchanan,the Office of Congressman Vern Buchanan,101,4
288775541985057,State Representative Mike Mueller,Rep. Mike Mueller,101,1
473884266132155,State Representative Mary Whiteford,Rep. Mary Whiteford,101,1
136648983036109,CommonBond Communities,COMMONBOND COMMUNITIES,101,12
6162159887,The World,The World,101,18
115142449914066,Reporter's Journal,Shakyra Avantee Mccutchen,101,8
36468835352,New England Aquarium,NEW ENGLAND AQUARIUM CORPORATION,101,3
892673067526965,Project War Path,Project War Path,101,14
180382898275,Lerner and Rowe,Lerner & Rowe Injury Attorneys,101,2﻿
275564936303690,Gina for Congress,GINA COLLIAS FOR CONGRESS CAMPAIGN,101,5
140155342671005,Sempervirens Fund,SEMPERVIRENS FUND,101,16
2095241010497280,State Representative Bronna Kahle,Rep. Bronna Kahle,101,1
385195211818552,Rep Josh Gottheimer,Rep. Josh Gottheimer,101,10
313942829424,Morgan & Morgan P.A.,"MORGAN & MORGAN, P.A.",≤100,2
396234403866384,Texas General Land Office,Texas General Land Office,≤100,1
22898109808,Grist.org,Grist Magazine,≤100,1
115780082684,Sasha Bruce Youthwork,SASHA BRUCE YOUTHWORK INC,≤100,2
374668328583,"The Mended Hearts, Inc.","MENDED HEARTS, INC.",≤100,4
440551812676698,Open The Books,American Transparency,≤100,6
2323471027903589,Million Moms With an Olive Branch,Bridging Minds,≤100,1
9157920604,Ken Calvert,KEN CALVERT FOR CONGRESS COMMITTEE,≤100,2
256760055231702,Beware of B,Beware of B,≤100,2
118303441570966,Home Ownership Matters,NATIONAL ASSOCIATION OF REALTORS,≤100,6
652735891861686,Ben Loyola,BEN LOYOLA FOR CONGRESS,≤100,15
302612457071883,Moving It Right,Richard P Ashton,≤100,2
209038435961062,Stand with Judge Roy Moore,JUDGE ROY MOORE FOR US SENATE,≤100,1
240129046467184,Supervisor Joseph Saladino,Citizens for Saladino,≤100,1
130467958471,Jason Lewis,JASON LEWIS FOR SENATE,≤100,8
116601218366669,Hillview Motorsports,"Hillview Motorsports, LLC",≤100,5
263210730984251,We Are Great Again Pac,WE ARE GREAT AGAIN PAC,≤100,3
1439441369620638,Grow Louisiana Coalition,Grow Louisiana Coalition,≤100,2
208375572621634,Yvette D. Clarke,CLARKE FOR CONGRESS,≤100,6
60870102434,Salvation Army California South,The Salvation Army California South,≤100,6
197461723779499,"Vasquez Law Firm, PLLC",William Junior Vasquez,≤100,2
155818016761,First 5 LA,First 5 LA,≤100,10
6766783198,John Carter,JOHN CARTER FOR CONGRESS,≤100,14
392505280892129,The Onder Law Firm,"OnderLaw, LLC",≤100,1
111182493572797,SumUp Analytics,SumUp Analytics,≤100,1
1497851363851721,QLMS,Quicken Loans Mortgage Services,≤100,2
174739196703689,Trump - the Opera,Roger Rudenstein,≤100,1
557113921291144,Learning Dynamics,4 Weeks To Read LLC,≤100,1
126690546681,Second Harvest Food Bank of East Tennessee,Second Harvest Food Bank of East Tennessee,≤100,3
202288719786161,SC Club for Growth,SC Club For Growth,≤100,7
245815932119105,Wilton Simpson,Jobs for Florida,≤100,3
2354481724812667,Spencer for Milwaukee City Attorney,Spencer for Milwaukee,≤100,1
656263988182462,Bill Hagerty,TEAM HAGERTY,≤100,2
112513470189608,American Hot Gear,Ad Hive,≤100,28
114614865377912,Councilmember Joe Buscaino,LA City Council District 15 - Joe Buscaino,≤100,1
111023950257331,Claire Chase for Congress,CLAIRE CHASE FOR CONGRESS,≤100,6
305483639616414,Gary Gates for Texas,Gary Gates for Texas,≤100,2
1747132688647028,Democratic Association of Secretaries of State,Democratic Association of Secretaries of State,≤100,18
143195412381888,"Georgia Gun Owners, Inc.",Georgia Gun Owners,≤100,1
849144885416494,Congresswoman Kim Schrier,"Office of Congresswoman Kim Schrier, M.D.",≤100,2
965451360264888,Brian Burley for Congress,BRIAN BURLEY FOR CONGRESS,≤100,5
14510925609,Free Press,Free Press,≤100,4
538477226541042,First Primary Care,First Primary Care,≤100,6
38932542633,Rep. Rob Wittman,Rep. Rob Wittman,≤100,4
1754034854890885,Joseph Sanchez for Congress,JOSEPH SANCHEZ FOR CONGRESS,≤100,11
302728279934419,Mayor Steve Vaus for Supervisor,VAUS FOR SUPERVISOR 2020,≤100,2
40912053758,Ohio Republican Party,Ohio Republican Party,≤100,3
105278394175506,Stephanie for New Jersey,Stephanie For New Jersey,≤100,3
519861745082187,We Can Solve This,The Years Project,≤100,1
78299858970,Houston Humane Society,Houston Humane Society,≤100,3
28394917492,Second Harvest Food Bank of Central Florida,"SECOND HARVEST FOOD BANK OF CENTRAL FLORIDA, INC.",≤100,3
158020364262665,Dominion Energy,Dominion Energy,≤100,3
210277954204,The Young Turks,"The Young Turks, Inc.",≤100,42
393733114026754,POWER 96.1,iHeartRadio,≤100,2
108512875350,The Atlas Society,The Atlas Society,≤100,11
1707318986195814,Environmental Health Project,Jessa L Chabeau,≤100,6
184373328845372,Gigi Raffe,Gigi Raffe,≤100,23
516459655505626,Congressman Bryan Steil,Office of Congressman Bryan Steil,≤100,8
240142306105643,Responsible Guam - Michael F.Q. San Nicolas,MICHAEL SAN NICOLAS FOR CONGRESS,≤100,2
121750354532995,Yale Program on Climate Change Communication,Yale Program on Climate Change Communication,≤100,2
714964525283154,Texas Citizens Coalition,Texas Citizens Coalition,≤100,5
173837496125511,Conscious Step,Conscious Step,≤100,13
859142114232628,CARE - Californians for Affordable & Reliable Energy,Californians for Affordable and Reliable Energy,≤100,2
248539568517772,New Jersey League of Conservation Voters,NJ LEAGUE OF CONSERVATION,≤100,4
795601923917961,Better Place Forests,Better Place Forests,≤100,3
345572342797971,Monty for City Council,Monty McIntyre for City Council 2020,≤100,6
2014519985445047,Clean Jobs Midwest,Energy Media,≤100,6
19045776114,The Better World Campaign,BETTER WORLD CAMPAIGN,≤100,2
907919839243616,My Faith Votes,My Faith Votes,≤100,15
8321461609,MomsRising.org,MomsRising Together,≤100,1
108597757264621,WOR HQ - Residential Green Energy,Bradley A. Bongiovanni,≤100,9
80865461794,Public Service Company of Oklahoma (PSO),Whitney Shawn Emerick,≤100,2
1132894673551457,Allstate Insurance Agent: Claude Alexander,Allstate,≤100,1
64206021703,National Committee to Preserve Social Security and Medicare,NATIONAL COMMITTE TO PRESERVE SOCIAL SECURITY AND MEDICARE,≤100,9
2025785507702182,Avoid Opioid SD,South Dakota Department of Health and Social Services,≤100,3
12876978977,SPCA of Texas,SPCA of Texas,≤100,3
248181906078243,National Institute for Civil Discourse,CommonSense American,≤100,12
392524473904,Erie Insurance,ERIE INDEMNITY COMPANY,≤100,2
320738328865866,Arati Kreibich for Congress NJ5,Arati for Congress and Progressive Change Campaign Committee,≤100,13
290548664672,First Liberty,First Liberty Institute,≤100,7
104760636770,Vera Institute of Justice,"VERA INSTITUTE OF JUSTICE, INC.",≤100,11
114530700443,Food Bank of Contra Costa and Solano,Food Bank of Contra Costa & Solano,≤100,2
19420215926,CNSNews.com,MEDIA RESEARCH CENTER,≤100,1
14851158643,Southern Utah Wilderness Alliance,SOUTHERN UTAH WILDERNESS ALLIANCE,≤100,3
7992407870,United Way of the Midlands,UNITED WAY OF THE MIDLANDS,≤100,2
207033659336173,Clean Elections,Citizens Clean Elections Commission,≤100,2
153273731101,San Antonio ISD,San Antonio ISD,≤100,2
99490682474,Americans for Prosperity - Colorado,AMERICANS FOR PROSPERITY,≤100,3
51949171587,Cross International,"CROSS INTERNATIONAL, INC.",≤100,3
110374789005998,Harvest Hope Food Bank,HARVEST HOPE FOOD BANK,≤100,54
1764680377156652,Trumpy Bear,EXCEPTIONAL PRODUCTS INC,≤100,16
1227874957291097,State Representative Roger Hauck,Rep. Roger Hauck,≤100,1
300341323465160,The Daily Signal,HERITAGE FOUNDATION (THE),≤100,11
1839067939730892,The Justice Guardians,"Eagle Peak Marketing, LLC",≤100,1
606666009515892,City of Sapulpa Gov.,City of Sapulpa,≤100,6
109333970468974,Rupert Parchment for SD 23,Committee to Elect Rupert Parchment SD23,≤100,4
100486426663199,Florida Skin Center,Florida Skin Center,≤100,8
1107973016071967,Wesley Hunt,Hunt for Congress,≤100,6
151219948249164,Florida Center for Investigative Reporting,Florida Center for Investigative Reporting,≤100,3
303374266418976,AFPM,American Fuel & Petrochemical Manufacturers,≤100,2
1824165801199201,The Fight Against Antimicrobial Resistance,"Paradigm Solutions, LLC",≤100,2
270503890146,Second Harvest Food Bank - Feeding South Louisiana,Second Harvest Food Bank - Feeding South Louisiana,≤100,3
77790954801,Salesian Missions,Salesian Missions,≤100,3
326341514712968,Fix MS Roads,Fix MS Roads,≤100,24
628773943837250,Task & Purpose,Task and Purpose,≤100,10
1586060554780670,Marsy's Law for Iowa,"Marsy’s Law for Iowa, LLC",≤100,3
379594116100374,CaucusRoom,"Caucus Room, LLC",≤100,3
110682710328209,Safer Communities,Christoph Blaylock,≤100,5
823130421379647,Rosilicie Ochoa Bogh for Senate,Rosilicie Ochoa Bogh for Senate 2020,≤100,4
348973409274904,Velvet Hamster,Velvet Hamster,≤100,4
208692369141192,State Employees Association of North Carolina,"STATE EMPLOYEES ASSOCIATION OF NORTH CAROLINA, INC.",≤100,2
113666459994300,Big Dan Rodimer for Congress,RODIMER FOR CONGRESS,≤100,23
231576956961106,Council President Brandon M. Scott,People For Brandon M. Scott Alicia Wilson Treasurer,≤100,17
134571176638205,One Tree Planted,One Tree Planted,≤100,6
230991440288731,American College of Obstetricians and Gynecologists - ACOG,"OBSTETRICIANS AND GYNECOLOGISTS, AMERICAN COLLEGE OF",≤100,95
202881546435519,Justin Rodriguez,"Justin Rodriguez for Bexar County Commissioner, Pct. 2",≤100,2
1667638686847579,The Collective PAC,THE COLLECTIVE PAC,≤100,3
694230774368193,Ben Carroll for Sheriff,"Ben Carroll, Republican, for Sheriff",≤100,3
129203152966,Andy Barr,"Andy Barr for Congress, Inc.",≤100,1
723136714746586,The Common Ground Project,"The Common Ground Project, Inc.",≤100,12
289213691238937,Thrasher Coffee,Thrasher Coffee Co.,≤100,6
128167457221813,Public Transportation,Voices for Public Transit,≤100,10
140438538925,Penguin Press,Penguin Random House LLC,≤100,1
108777231824,Manhattan Institute for Policy Research,MANHATTAN INSTITUTE FOR POLICY RESEARCH INC,≤100,6
103720977697760,Whitney Williams,Whitney for Montana,≤100,61
145546662234642,American Energy Alliance,American Energy Alliance,≤100,17
451900515399684,Vote Meijer,PETER MEIJER FOR CONGRESS,≤100,1
281835005264380,Eric Swalwell,SWALWELL FOR CONGRESS,≤100,10
243510442756370,Justice Democrats,JUSTICE DEMOCRATS PAC,≤100,87
2220283434674467,Engage Texas,ENGAGE TEXAS,≤100,143
1155870504462715,Denver Riggleman,"FRIENDS OF DENVER RIGGLEMAN, INC.",≤100,24
773878036011805,Kaady Car Washes,KAADY CAR WASHES,≤100,3
999775873528189,Stopping Socialism,Justin Trask Haskins,≤100,1
493811210669780,Creative Action Network,Creative Action Network,≤100,9
112325855474892,Speak Up For Education and Kids,National Education Association,≤100,34
709491732434343,שורת הדין - Shurat HaDin,Karen Almog,≤100,2
2377166239179411,Nancy Goroff for Congress,Goroff for Congress,≤100,14
16900111951,National Organization for Women (NOW),NATIONAL ORGANIZATION FOR WOMEN,≤100,12
468445316654397,Texans For Stovall,TEXANS FOR STOVALL,≤100,2
179556922862232,Georgia Chamber Action,Georgia Chamber of Commerce,≤100,6
243856543217942,Jerry Carl For Congress,JERRY CARL FOR CONGRESS,≤100,6
113824995295707,Second Harvest Foodbank of Southern Wisconsin,Second Harvest Foodbank of Southern Wisconsin,≤100,3
116297878405113,Exalta Health,Exalta Health,≤100,2
105446180902030,Annette Rees for Judge 2020,Mike James Daniel,≤100,4
157218874643692,Abuse Guardian,"Eagle Peak Marketing, LLC",≤100,1
514330222420495,State Representative Greg VanWoerkom,Rep. Greg VanWoerkom,≤100,1
57940793932,AARP South Dakota,AARP,≤100,2
206613968946,Jaime Herrera Beutler,JAIME FOR CONGRESS,≤100,2
347136228807672,Sheriff Rand Henderson,Rand Henderson Campaign,≤100,1
191428784201721,Congressman Scott Tipton,the Office of Congressman Scott Tipton,≤100,7
5644748986,National Wildlife Federation,NATIONAL WILDLIFE FEDERATION,≤100,9
135865583728025,Dan Palmer,"Palmer Media, LLC",≤100,7
434224137354568,Dr. Rich McCormick for Congress,Friends of McCormick,≤100,2
774716719375468,Congressman Andy Biggs,The Office of Congressman Andy Biggs,≤100,1
89585789925,Pasadena Humane Society & SPCA,Pasadena Humane Society & SPCA,≤100,3
105229062888132,Stop Soldier Suicide,Stop Soldier Suicide,≤100,35
59687083274,UCSB Arts & Lectures,UCSB Arts & Lectures,≤100,6
265091094057597,Americans For Carbon Dividends,Americans for Carbon Dividends Inc,≤100,16
460134787357280,Our Health Oregon,OAHHS,≤100,4
1638042902913655,Outlaw Dirty Money,Outlaw Dirty Money,≤100,1
1397799040234106,OpinionUP,OpinionUP LLC,≤100,10
168876449866088,The Years Project,The Years Project,≤100,43
59543893235,National Constitution Center,National Constitution Center,≤100,6
179042532903649,Cindy Hyde-Smith,Cindy Hyde Smith for US Senate,≤100,4
448010328698132,Don Bacon,DON BACON FOR CONGRESS,≤100,8
103565657756782,Anne Marie Ward for Congress,ANNE MARIE WARD FOR CONGRESS,≤100,4
115147112341,Citizens to Elect Dan Patlak,Citizens for Dan Patlak,≤100,4
1469169860057358,Academy for Professional Development Inc.,Academy for Professional Development,≤100,3
174057765941,Republican Party of Virginia,REPUBLICAN PARTY OF VIRGINIA INC,≤100,6
102449199835273,Rep. Tom Reed,Rep. Tom Reed,≤100,19
113351505349955,The Christian Broadcasting Network,"CHRISTIAN BROADCASTING NETWORK INC, THE",≤100,40
136211573758668,State Representative Steve Allison,Steve Allison,≤100,1
1020951917927616,GRRRL Clothing,Kortney Kay Olson,≤100,1
105953890782784,The Factual,Jacob Aaron Soroka,≤100,8
248775065305797,Black Butte Copper,Sandfire Resources America,≤100,26
20876805343,March of Dimes,Anthony Freitas,≤100,1
392516956004,The Carter Center,The Carter Center,≤100,13
2317264024972785,New American Populist,The New American Populist,≤100,16
722823384754168,Leidy South,"WILLIAMS COMPANIES, INC., THE",≤100,23
110909394960,Grameen Foundation,Grameen Foundation,≤100,11
461466040587767,Rescue Missions Ministries Thrift Stores,Heather Renee Cutchin,≤100,2
376665551018,Rhode Island Commerce,Rhode Island Commerce,≤100,1
384676381708957,Education NC,Education NC,≤100,10
6713653788,Gary Peters,PETERS FOR MICHIGAN,≤100,4
26581903414,Eastern Illinois Foodbank,Eastern Illinois Foodbank,≤100,3
120594982674473,Sarah Gad 2020,Sarah R Gad,≤100,3
110069137086090,Oregon Association of Hospitals & Health Systems,OAHHS,≤100,3
372082579523719,Rabbi Dr. Shmuly Yanklowitz,Rabbi Dr. Shmuly Yanklowitz,≤100,1
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,≤100,22
110309607045916,Lisa Scheller,"Scheller for Congress, Inc.",≤100,4
12683623041,Society for Human Resource Management (SHRM),SOCIETY FOR HUMAN RESOURCE MANAGEMENT,≤100,1
60182072999,Lila Rose,Live Action,≤100,3
28889108258,Gospel for Asia,"GOSPEL FOR ASIA, INC.",≤100,2
571748412859876,Matt Rosendale,Matt Rosendale for Montana,≤100,8
238008626268343,Israel365,Teach for Israel Inc,≤100,8
182193211815005,Issue One,Issue One,≤100,3
661744180680367,National Police Association,"NATIONAL POLICE ASSOCIATION, INC.",≤100,4
602074469965571,Plan C,NATIONAL WOMENS HEALTH NETWORK,≤100,9
104181186973,Greg Steube,GREG STEUBE FOR CONGRESS,≤100,12
114172129975113,Elisa Martinez for New Mexico,ELISA FOR NM,≤100,1
243498882520314,FoodFinder,"FOODFINDER, INC.",≤100,2
117007611809140,Elect Nick Palmer,Citizens to Elect Nick Palmer,≤100,3
348868709136665,Conservative Defense Fund,Conservative Defense Fund (CDF),≤100,3
608511902518687,John Ratcliffe,RATCLIFFE FOR CONGRESS,≤100,2
109729897041138,David Richter,David Richter for Congress Inc,≤100,12
104640291008398,Cut Illinois Taxes Now,Cut Illinois Taxes Now,≤100,4
277017876160876,Theo Lipscomb for County Executive,Voters for Lipscomb,≤100,1
103844480955531,Dr. Chris Magiera for Congress,"FRIENDS OF CHRIS MAGIERA, INC.",≤100,8
122786319120346,Claire Russo for Congress,CLAIRE RUSSO FOR CONGRESS,≤100,14
1701899883357807,Seed Your Future,Seed Your Future,≤100,11
220413424654618,Nevada Right to Life,Nevada Right to Life,≤100,2
287031428106870,Chad Benson Show,The Chad Show,≤100,15
34370387440,JDRF,JDRF INTERNATIONAL,≤100,19
1379912528970300,Assemblyman James Gallagher,Gallagher for Assembly,≤100,1
154728531220691,Steve McShane for Monterey County Supervisor District 4,McShane for Supervisor 2020,≤100,20
237804206990,Central California Food Bank,Central California Food Bank,≤100,3
166162000175074,CASA,CASA,≤100,3
383677738397139,Association for Accessible Medicines,Association for Accessible Medicines,≤100,8
102682681124239,August Pfluger,AUGUST PFLUGER FOR CONGRESS,≤100,124
112962521120,Ben Ray Luján,Congressman Ben Ray Luján,≤100,7
493747700758477,Airbnb Citizen,"AIRBNB, INC.",≤100,2
141903186483620,Marsy's Law for Pennsylvania,"Marsy’s Law for Pennsylvania, LLC",≤100,16
123500462249,Oregon Food Bank,"OREGON FOOD BANK, INC.",≤100,9
187741797907314,The American Society of Anesthesiologists (ASA),AMERICAN SOCIETY OF ANESTHESIOLOGISTS POLITICAL ACTION COMMITTEE (ASA PAC),≤100,4
837215636395926,Illinois Coalition for Access to Affordable Medication,Illinois Coalition for Access to Affordable Medication,≤100,1
160264363992500,World Bicycle Relief,"WORLD BICYCLE RELIEF, NFP",≤100,4
103794891094099,Sam Nejabat for City Council,Sam Nejabat for City Council 2020,≤100,4
284946111858895,Debbie Mucarsel-Powell,DEBBIE FOR CONGRESS,≤100,33
118721114820239,"State Senator Mary L. Washington, Ph.D","PEOPLE UNITING TO ELECT MARY WASHINGTON, JOSEPH J. PALUMBO, CPA, TREASURER",≤100,2
112600915451330,No Labels,No Labels,≤100,1
819212211804478,Karma Honey Project,Candice Marie Galek,≤100,4
116924065002990,Indiana Democratic Party,INDIANA DEMOCRATIC CONGRESSIONAL VICTORY COMMITTEE,≤100,8
161879897191723,EarthX,EarthX,≤100,12
854748721570632,A Second Opinion,Motus Creative Group,≤100,42
1463945147151262,Lowell Russell - State Representative 21,Campaign to Re-Elect Lowell Russell,≤100,1
510414342451013,Morning in Nevada PAC,Morning in Nevada PAC,≤100,4
384336778589668,Defend Our Constitution,COMMON CAUSE,≤100,27
49095099209,Community Housing Partnership,COMMUNITY HOUSING PARTNERSHIP,≤100,5
303061950155375,John James,"JOHN JAMES FOR SENATE, INC.",≤100,1
1059320777468378,David Kustoff,Kustoff for Congress,≤100,10
1418907401547906,Rescü,"Rescu, LLC",≤100,7
14413545701,Conservation Law Foundation,"CONSERVATION LAW FOUNDATION, INC.",≤100,3
97466887664,Innocence Project,"INNOCENCE PROJECT, INC., THE",≤100,14
884438908321976,Danbury Prospect Charter School,PROSPECT SCHOOLS INC,≤100,2
306421250255549,Mike Williams 31ctx,Mike Williams for Congress,≤100,5
10423517786,Harvard Business Review,HARVARD BUSINESS SCHOOL PUBLISHING CORPORATION,≤100,10
41182871633,National Museum of American Jewish History,National Museum of American Jewish History,≤100,6
531093167057433,Be The One Ohio,Ohio Alliance to End Sexual Violence,≤100,5
87110919728,Rise Against Hunger,"RISE AGAINST HUNGER, INC.",≤100,12
945005292238581,Minnesotans for a Smoke-Free Generation,ClearWay Minnesota,≤100,40
506710966109974,Mandeville For Montana,Mandeville For Montana,≤100,4
354964548302597,Electricians Work,Electricians Work,≤100,2
602040603170590,Americans for Food and Beverage Choice,Americans for Food and Beverage Choice,≤100,16
309501559175104,Dan Newhouse for Congress,DAN NEWHOUSE FOR CONGRESS,≤100,3
1385294418360578,Linda Koop,KOOP FOR TEXAS,≤100,3
165350426309,Goodwill Industries of Tulsa,"GOODWILL INDUSTRIES TULSA, INC.",≤100,15
1419388578092947,Anna Paulina Luna,ANNA PAULINA LUNA FOR CONGRESS,≤100,5
551199354892891,Rep. Sean Patrick Maloney,The Office of Congressman Sean Patrick Maloney,≤100,2
164142423691128,Vern Eide of Mitchell,Vision Video Interactive,≤100,1
604585346220609,CK Family Services,"COVENANT KIDS, INC",≤100,2
17895249095,Wild & Scenic Film Festival,SOUTH YUBA RIVER CITIZENS LEAGUE,≤100,9
714227512101604,Carolyn Long,ELECT CAROLYN LONG,≤100,14
566008736785269,Be Heard Project,Be Heard Project,≤100,4
7609325759,Jim McGovern,RE-ELECT MCGOVERN COMMITTEE,≤100,36
220655551600613,Michigan Wildlife Council,Michigan Wildlife Council,≤100,1
269479249997,National Shooting Sports Foundation | NSSF,National Shooting Sports Foundation,≤100,23
26689153393,Muslim Public Affairs Council - MPAC,Brandon Edward Mcrae,≤100,18
852126105133242,Jerry Ford for Congress,Jerry Ford for Congress,≤100,4
113975140049132,Wayne Reid,Wayne A Reid,≤100,10
59386210330,American Lung Association,AMERICAN LUNG ASSOCIATION,≤100,2
108933187105808,Stop Pay To PLA,Long Island & New York Mechanical Contractors Association,≤100,2
536505076482383,Open Primaries,OPEN PRIMARIES INC.,≤100,1
819607471729183,Dr. Al Gross for US Senate,DR. AL GROSS FOR U.S. SENATE,≤100,31
383102295631875,"Victor Garcia Da Rosa For Congress- Republican, Florida's 21st CD",VICTOR GARCIA DA ROSA FOR CONGRESS,≤100,6
252274592332946,Representative Michael Waltz,Office of Representative Michael Waltz,≤100,5
103857557673309,Clean Energy Solutions,David Gomez,≤100,1
139599847972,National Nurses United,National Nurses United,≤100,4
141395226689,New York State Nurses Association,"NEW YORK STATE NURSES ASSOCIATION, THE",≤100,2
87137984348,Jewel-Osco,Albertsons Companies,≤100,2
271703062860460,WEI: Wisconsin Environmental Initiative,"Wisconsin Environmental Initiative, Inc.",≤100,3
125769584126996,Yael Eckstein,"INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS, INC.",≤100,1
106315860797720,State Rep Diane Grendell,Grendell for Good Government,≤100,6
755175814541555,Law Office of Fernando Dubove - Immigration Attorney in Dallas,Law Office of Fernando Dubove,≤100,2
296727554091038,Gun Violence Prevention Action Committee,Gun Violence Prevention Action Committee,≤100,3
181924628560212,SumOfUs,SumOfUs,≤100,2
238473269650980,Capital & Main,CAPITAL & MAIN,≤100,6
438536186881177,All Clear Foundation,All Clear Foundation,≤100,2
110866592291015,Eduardo Soto Abogado Inmigracion,Eduardo Soto & Associates,≤100,3
236312179825896,Republican Main Street Partnership,REPUBLICAN MAIN STREET PARTNERSHIP INC,≤100,8
745304825534862,Steve Scalise,SCALISE FOR CONGRESS,≤100,6
304005836977326,Joe LaCava for City Council,Joe LaCava for City Council 2020,≤100,3
473227436105637,American Jewish Congress,American Jewish Congress,≤100,3
130268756992804,Yale Climate Connections,Yale Climate Connections,≤100,4
614134231980299,Veterans Empowered To Protect African Wildlife,VETPAW INC,≤100,23
1553978148244954,Build With Strength,Build With Strength,≤100,13
692220144192046,Empower Mississippi,Empower Mississippi,≤100,6
317715676043,Conservation Voters of Pennsylvania,Conservation Voters of Pennsylvania,≤100,2
266176483402393,"North Country Food Bank, Inc.","North Country Food Bank, Inc.",≤100,3
1824503584434809,I Vaccinate,Michigan Department of Health and Human Services,≤100,22
1977477442330078,State Representative Andrea Schroeder,Rep. Andrea Schroeder,≤100,1
887894034942767,Woodward for Judge,Woodward for Judge,≤100,1
294695424535158,Shawn Johnson for Judge,Committee to Elect Shawn Johnson,≤100,3
2202177140098501,Tamerlin Godley for City Council,TAMERLIN GODLEY FOR CITY COUNCIL,≤100,82
128048377208732,Feeding South Dakota,Feeding South Dakota,≤100,5
974972759302156,U.S. Congresswoman Stephanie Murphy,U.S. Congresswoman Stephanie Murphy,≤100,1
2114015665342593,DO YOU HAVE A GREEN CARD?,Cheng Hsiang Chou,≤100,1
607756062649744,The Syria Campaign,The Syria Campaign,≤100,3
107103197458787,Fred Smith for Johnston County Commissioner,Fred Smith for Commissioner,≤100,1
100925794732622,The Lincoln Option,Yellow Line Productions LLC,≤100,4
2309913185898331,We Count Oregon,Beverly Katrece Avery,≤100,1
119875179042,Josh Stein,Josh Stein for Attorney General,≤100,8
120137368013775,Puget Sound Energy,"PUGET SOUND ENERGY, INC.",≤100,3
40708428510,Environmental Advocates of New York,"ENVIRONMENTAL ADVOCATES OF NEW YORK, INC.",≤100,1
108906707265489,USA Pooch,"PRESIDENTIAL POOCH, INC",≤100,5
197649756923507,KeepItLocalFlorida.org,Keep It Local Florida,≤100,1
521010658436453,Mike Ghassali For Congress,GHASSALI FOR CONGRESS,≤100,10
237158469893,YWCA Minneapolis,YWCA of Minneapolis,≤100,3
188572961157305,Congressman Daniel Webster,Congressman Daniel Webster,≤100,9
190343811069679,Peter Franchot,Friends of Peter Franchot,≤100,3
1677332715656166,Brad Boles for State House District 51,Friends of Brad Boles 2020,≤100,2
405814980262805,Rush4Congress,THE PEOPLE FOR RUSH DARWISH,≤100,1
142079411336,Second Harvest Food Bank of East Central Indiana,Second Harvest Food Bank of East Central Indiana,≤100,3
172783160290727,New Civil Liberties Alliance,NEW CIVIL LIBERTIES ALLIANCE,≤100,2
34744979347,MS Food Network,Mississippi Food Network,≤100,2
